中南世纪花城,823,120.92128,31.98079,21066,2016年建成,板塔结合,,
华强城,1932,120.8621,32.04108,16806,2013年建成,板楼,,
华润橡树湾,592,120.94954,31.93067,14166,2013年建成,板楼,,
南通万达广场,,120.8324,32.03619,9811,2016/3/30,塔楼,,
城市嘉苑,444,120.8757,31.98544,20042,2014/12/1,板楼,板塔结合,
优山美地名邸,,120.94936,31.91377,12387,2013/5/30,板楼,,
南通碧桂园,1053,120.95216,31.94137,13619,2015年建成,塔楼,,
凤凰莱茵苑,,120.89503,31.98901,21370,2010年建成,板楼,,
世茂公元,1617,120.94843,31.9359,14827,2015年建成,板楼,,
天安花园,123,120.88226,31.9876,21568,2011/12/1,板楼,,
中南·世纪城,,120.90087,31.97011,22786,2012年建成,板楼,板塔结合,
万通城,,120.93761,32.02109,14092,2009年建成,板塔结合,,
龙田花苑,,120.98353,31.90781,9230,2012年建成,板楼,,
郭里园新村,,120.87503,32.02944,14403,1997年建成,板楼,,
帝奥世伦名郡,59,120.920531,31.998831,16424,2012年建成,板楼,,
天一学士府,,120.89696,31.9971,15022,2015年建成,板楼,,
紫东花苑,,120.90476,32.01309,13708,2011年建成,板塔结合,,
中港翡翠城,522,120.95394,31.91261,12952,2016年建成,板楼,,
景瑞望府,1185,120.9458,31.92694,14322,2015年建成,板楼,板塔结合,
南通雅居乐花园,610,120.96491,31.92572,12958,2016年建成,塔楼,,
绿城玉兰公寓,,120.88471,31.97742,31543,2012年建成,板楼,,
德民花苑,2947,120.89303,32.01917,13619,2008年建成,板塔结合,,
新城小区,,120.88445,31.97857,27222,2007年建成,板塔结合,,
恒盛尚海湾,50,120.88268,31.99453,17991,2014年建成,板楼,板塔结合,
学田苑,,120.88308,32.01105,14776,1995年建成,板楼,,
景瑞御府,622,120.92106,31.96762,14889,2017年建成,板楼,,
新城香溢紫郡,1308,120.84256,32.0666,14140,2016年建成,板塔结合,,
北濠桥东村,,120.86902,32.03225,14174,1997年建成,板楼,,
万濠星城,987,120.86361,31.98701,18103,2015年建成,塔楼,,
苏建花园城,16,120.8957085,32.0200753,17812,2011/8/1,板塔结合,,
星景花园,,120.96898,31.94972,9128,2006年建成,板楼,,
恒盛豪庭,,120.918,32.01432,14543,2012年建成,板楼,,
春天花园,,120.947926,31.905966,11573,2001年建成,板楼,,
军山花园,,120.91125,31.92781,14558,2013年建成,板楼,,
星海花园,,120.94283,31.91018,10660,2008年建成,板楼,,
中海碧林湾,1110,120.82804,32.06553,14551,2016年建成,板楼,,
春晖花园,,120.87423,31.98585,14184,2007年建成,板楼,,
首开紫宸江湾,,121.176918,31.83491707,8347,,,,
竹韵花园,,120.9913,31.9037,8218,2011年建成,板楼,,
育闲花苑,697,120.8732834,32.04889679,16298,2012年建成,板楼,,
银花苑,,120.87928,32.01726,25468,1993年建成,板楼,,
海上传奇,,121.00813,31.83659,9855,,板楼,,
崇川星光域,,120.87483,32.04058,18429,2017/12/1,板塔结合,,
南川园新村,,120.88764,32.00014,12636,1993年建成,板楼,,
世纪新城,,120.91412,31.98542,14123,2008年建成,板楼,,
华润悦景湾,,120.8580399,32.05169678,17156,2013年建成,板楼,,
海尚家园,,120.96776,31.96219,10054,2005年建成,板楼,,
万濠华府,,120.85066,32.01088,19881,2011年建成,板楼,,
优山美地花园,,120.91392,31.93694,13810,,板楼,,
世濠花园,,120.91509,31.99477,13474,2015年建成,板楼,,
