本研究中使用的街景图像的时间分不及其对应的数量
年份,数量
201309,28276
201608,20664
202107,20428
202108,15804
201311,1100
201310,262

聚类分析结果,
类别,数量
1,27026
3,18279
0,17097
5,8697
4,7935
2,7500

聚类分析结果指标,
cluster,sky,plant,building,road,beautiful,boring,depressing,lively,safety,wealthy	
0, 0.45204989, 0.02434912, 0.10075281, 0.51416761, 0.58106223,0.74829742, 0.36373641, 0.95485961, 0.92496097, 0.45688217
1, 0.35841197, 0.02464048, 0.12455413, 0.50875934, 0.6238769,0.4328597 , 0.35107616, 0.97765203, 0.9449963 , 0.58703069
2, 0.13659833, 0.07244153, 0.27316153, 0.29037758, 0.37055946,0.33771563, 0.77044883, 0.40919017, 0.41105438, 0.20690883
3, 0.24130061, 0.02762631, 0.15293746, 0.47199356, 0.52541749,0.37022794, 0.6333792 , 0.89906879, 0.85498333, 0.43621678
4, 0.38465934, 0.19518262, 0.15526228, 0.12647255, 0.51980885,0.50170253, 0.51556661, 0.88669077, 0.90453518, 0.41711694
5, 0.12206927, 0.02582035, 0.50805586, 0.27662845, 0.40006568,0.38461004, 0.66340196, 0.9183742 , 0.89594267, 0.49965678

年份 2013,
类别,数量
0,9611
5,8454
3,3861
2,3227
4,2919
1,1566

聚类分析结果指标,
cluster,sky,plant,building,road,beautiful,boring,depressing,lively,safety,wealthy	
0,3.28467820e-02, 1.02721104e-01, 4.91043196e-01, 6.55448109e-01,4.34415259e-01, 3.52691999e-01, 9.76684496e-01, 9.41550516e-01,5.64881788e-01, 2.01300000e+03,
1,9.38052805e-02, 3.87511659e-01, 1.81047216e-01, 2.91027804e-01,2.93318962e-01, 8.26302444e-01, 3.76692845e-01, 2.85840260e-01,1.95842548e-01, 2.01300000e+03,
2,2.74578483e-02, 5.66656103e-01, 2.05738235e-01, 3.65390480e-01,3.81403188e-01, 6.84111155e-01, 9.15180521e-01, 8.89271242e-01,4.99176115e-01, 2.01300000e+03,
3,2.14208045e-01, 1.34949570e-01, 1.11417052e-01, 5.18917163e-01,4.94404902e-01, 5.03460039e-01, 9.41947938e-01, 9.31465911e-01,4.42618410e-01, 2.01300000e+03,
4,9.71400900e-02, 1.55574789e-01, 2.88112938e-01, 4.69688802e-01,3.40619264e-01, 6.88765004e-01, 6.82661568e-01, 6.96170396e-01,3.10954735e-01, 2.01300000e+03,
5,2.99205009e-02, 1.59618583e-01, 4.61889397e-01, 4.74166731e-01,3.81254116e-01, 6.05678765e-01, 9.65305736e-01, 9.25165980e-01,5.30262657e-01, 2.01300000e+03

年份 2016,
聚类分析结果,
类别,数量
5,6043
3,4964
0,3597
1,2466
2,2397
4,1197

聚类分析结果指标,
cluster,sky,plant,building,road,beautiful,boring,depressing,lively,safety,wealthy	
0,6.25337883e-02, 1.37055111e-01, 4.21308802e-01, 5.78482742e-01,7.26609695e-01, 3.81043390e-01, 9.58097689e-01, 9.33259005e-01,4.63198128e-01, 2.01600000e+03,
1,8.79533157e-02, 1.57148966e-01, 3.12973131e-01, 4.96622206e-01,3.89190862e-01, 6.52621579e-01, 6.84377941e-01, 7.05256260e-01,3.08041951e-01, 2.01600000e+03,
2,4.78996218e-02, 4.70709197e-01, 2.47595715e-01, 3.90402040e-01,4.11751927e-01, 6.65371536e-01, 9.24328335e-01, 8.92430882e-01,4.75323843e-01, 2.01600000e+03,
3,3.47450257e-02, 1.95819781e-01, 4.42413695e-01, 5.48096889e-01,3.85726295e-01, 5.49370839e-01, 9.64461983e-01, 9.19613301e-01,5.39439961e-01, 2.01600000e+03,
4,8.19923426e-02, 2.84948110e-01, 2.12727047e-01, 2.94393878e-01,3.06277340e-01, 8.28894364e-01, 3.18553799e-01, 2.72877172e-01,1.66495417e-01, 2.01600000e+03,
5,2.74242799e-02, 1.04041108e-01, 5.26492593e-01, 6.51063156e-01,4.71911086e-01, 2.83049565e-01, 9.75912189e-01, 9.41220084e-01,5.71143780e-01, 2.01600000e+03

年份 2021,
聚类分析结果,
类别,数量
1,9935
4,9766
5,6717
3,4163
2,3683
0,1968

聚类分析结果指标,
cluster,sky,plant,building,road,beautiful,boring,depressing,lively,safety,wealthy	
0,4.87051109e-02, 3.09497578e-01, 3.44065773e-01, 3.73518781e-01,3.26616898e-01, 7.82877527e-01, 3.15401964e-01, 3.50826351e-01,1.71839029e-01, 2.02100000e+03
1,1.82455437e-02, 1.22600838e-01, 5.27239772e-01, 6.13584017e-01,4.86150333e-01, 3.07724011e-01, 9.79461375e-01, 9.48516733e-01,5.80993974e-01, 2.02100000e+03
3,4.44714328e-02, 4.10782187e-01, 3.09882498e-01, 4.46633381e-01,4.23006264e-01, 6.14305449e-01, 9.27613510e-01, 9.12135839e-01,4.83420848e-01, 2.02100000e+03
4,4.53203431e-02, 1.49121196e-01, 4.57309864e-01, 4.95876249e-01,5.09737679e-01, 6.24766396e-01, 6.31828673e-01, 6.77286318e-01,2.77092465e-01, 2.02100000e+03
5,2.25843292e-02, 1.02229617e-01, 5.13066454e-01, 5.84835624e-01,7.91719587e-01, 3.66562673e-01, 9.64845415e-01, 9.32543894e-01,4.62191948e-01, 2.02100000e+03
6,2.19047017e-02, 1.38318342e-01, 5.09805119e-01, 5.89715735e-01,3.78399126e-01, 5.83406555e-01, 9.39509516e-01, 8.92942369e-01,4.40122850e-01, 2.02100000e+03

