,建筑,历史,异域文化,景观,艺术,娱乐,饮食,亲子,购物,科技,高校,科普与素养
Green,0.033,0.102,-0.019,-0.113,-0.123,-0.126,-0.064,0.05,0.051,-0.03,-0.055,0.171
Sky,0.047,0.1,0.092,0.163,-0.007,-0.073,-0.199,-0.061,0.028,0.131,0.093,0.176
River,0.085,-0.069,-0.047,0.04,0.03,0.015,0.196,-0.096,-0.151,-0.059,0.019,-0.03
BLR,0.195,-0.106,0.033,-0.069,0.154,0.195,-0.014,0.213,-0.02,0.015,-0.186,-0.067
ID,-0.119,-0.048,0.113,-0.118,0.008,0.054,-0.052,-0.189,-0.177,0.169,-0.077,-0.098
PubArt,0.078,0.109,-0.218,0.037,0.054,-0.01,-0.048,-0.144,-0.1,0.019,-0.046,-0.001
Arch,-0.216,-0.176,0.022,-0.07,-0.232,-0.012,0.024,-0.001,0.036,-0.09,0.126,0.1
Histor,-0.093,0.139,0.022,-0.054,0.019,0.013,-0.004,-0.119,-0.098,-0.114,0.07,-0.013
Faccon,0.11,0.045,0.081,-0.088,-0.087,-0.019,0.2,0.021,-0.114,0.049,0.019,0.02
Block,0.009,-0.028,0.092,0.01,0.038,-0.087,0.031,0.019,-0.047,0.066,0.098,-0.073
FacCol,0.224,0.443,0.321,0.002,0.143,0.569,-0.031,0.083,0.203,-0.096,0.071,-0.107
