id,longitude,latitude
0,87.3407658438,43.9390751136
1,87.3450212684,43.9432061447
10,87.3736215173,43.9709487961
1000,87.6651860904,43.9425053518
10000,87.5355469643,43.9539396241
10001,87.5367448951,43.954317941
10002,87.5379434871,43.9546940916
10003,87.5391477839,43.9550515789
10004,87.540358642,43.9553859936
10005,87.5415786637,43.9556851299
10006,87.5428107132,43.9559304602
10007,87.544046964,43.9561514458
10008,87.5452900106,43.9563328955
10009,87.5465368943,43.9564842111
1001,87.6640511806,43.9419667038
10010,87.5477886172,43.9565887
10011,87.5490426114,43.9566634915
10012,87.5502981085,43.9567027781
10013,87.5515542694,43.9566904835
10014,87.5528099074,43.9566560187
10015,87.554953426,43.9565011922
10016,87.5562014408,43.9563586905
10017,87.5574453827,43.9561839242
10018,87.5586809438,43.9559570644
10019,87.559912897,43.9557115107
1002,87.6629138283,43.9414332681
10020,87.5611337616,43.9554155586
10021,87.562343834,43.955084326
10022,87.5635513266,43.9547377374
10023,87.5647518466,43.9543677836
10024,87.5659518076,43.9539959562
10025,87.5671519493,43.9536247128
10026,87.5683521593,43.9532536901
10027,87.5695525596,43.9528832924
10028,87.5707559325,43.9525226603
10029,87.5719593054,43.9521620282
1003,87.6613821723,43.940723839
10030,87.5731595509,43.9517911517
10031,87.5743591595,43.9514181894
10032,87.5755587682,43.951045227
10033,87.5767583769,43.9506722646
10034,87.5779617529,43.9503117287
10035,87.5791665138,43.9499557612
10036,87.5803724236,43.9496039221
10037,87.5815878908,43.9492864297
10038,87.5828079106,43.9489871846
10039,87.584030879,43.9486999572
1004,87.6602424395,43.940195473
10040,87.5852590844,43.9484366007
10041,87.5864909466,43.9481903587
10042,87.587725781,43.9479593938
10043,87.5889638932,43.9477467346
10044,87.5902054877,43.9475554099
10045,87.5914502883,43.9473865746
10046,87.5926970948,43.9472329247
10047,87.5939461658,43.9470998922
10048,87.5951970036,43.9469834162
10049,87.5964499356,43.9468931392
1005,87.6591034057,43.9396656014
10050,87.5977034175,43.9468098573
10051,87.5989581686,43.9467485267
10052,87.6002125498,43.9466858991
10053,87.6014678478,43.9466370213
10054,87.6027231457,43.9465881435
10055,87.6039784436,43.9465392657
10056,87.6105768472,43.9472351383
10057,87.6114262766,43.9479956165
10058,87.6125603807,43.9475892709
10059,87.6111402514,43.9308328864
1006,87.6651235473,43.9425423898
10060,87.6114667034,43.9320459043
10061,87.6117032834,43.9332791353
10062,87.611871042,43.9345240939
10063,87.6134344857,43.9525935593
10064,87.6135515501,43.9538442075
10065,87.603241247,43.9466858556
10066,87.6044964938,43.9466356814
10068,87.5551098644,43.9566035425
10069,87.5563576484,43.9564583937
1007,87.6639890945,43.9420027799
10070,87.5575992818,43.9562682444
10071,87.5588352984,43.9560442241
10072,87.5600659665,43.9557924507
10073,87.5612874315,43.9554993518
10074,87.5624988325,43.9551670607
10075,87.5637056467,43.9548181257
10076,87.5649057476,43.95444675
10077,87.5661058484,43.9540753744
10078,87.5673063025,43.9537051427
10079,87.5685068378,43.9533351741
1008,87.6628518898,43.9414690362
10080,87.5697077148,43.9529663269
10081,87.5709106426,43.9526042129
10082,87.5721135704,43.9522420989
10083,87.5733132609,43.9518694151
10084,87.5745126472,43.9514957382
10085,87.5757120335,43.9511220614
10086,87.5769114198,43.9507483845
10087,87.5781153916,43.9503898348
10088,87.5793203903,43.9500346729
10089,87.5805272082,43.9496860163
1009,87.6613533544,43.9407744459
10090,87.5817416446,43.9493646038
10091,87.5829629134,43.9490706043
10092,87.5841865162,43.9487860752
10093,87.5854148734,43.9485232094
10094,87.5866468597,43.9482779364
10095,87.5878835503,43.9480571234
10096,87.5891223387,43.9478487694
10097,87.5903634416,43.947654282
10098,87.5916086905,43.9474886203
10099,87.5928557477,43.9473370298
1010,87.6602137597,43.9402457818
10100,87.5941049306,43.9472045846
10101,87.5953551834,43.9470819881
10102,87.5966083275,43.9469943376
10103,87.5978619545,43.9469138085
10104,87.5991169261,43.9468571688
10105,87.6003717459,43.9468028878
10106,87.6016270912,43.946755368
10107,87.612571412,43.9422154549
10108,87.6126936616,43.9434655363
10109,87.612819253,43.9447154074
1011,87.6590745769,43.9397162306
10110,87.6072382388,43.921846301
10111,87.6067207772,43.9207016864
10112,87.6060651728,43.9195751261
10113,87.6052610151,43.9158583212
10114,87.6060618469,43.9182176191
10115,87.6067976242,43.9192214431
10116,87.6079354309,43.9197330892
10117,87.60836014,43.9206321031
10118,87.6077262551,43.9216761096
10119,87.6064182986,43.94656153
1012,87.6579353942,43.9391866793
10120,87.6121224912,43.9372807293
10121,87.6057016281,43.9175812358
10122,87.6055626315,43.9176078021
10123,87.6051162182,43.9158927064
10124,87.6070503091,43.9211099506
10125,87.6065598707,43.9199537487
10126,87.6061098878,43.9187811234
10127,87.6069082903,43.9217617976
10128,87.6058872253,43.9210585238
10129,87.6046509976,43.9208810953
1013,87.6679082317,43.9435503355
10130,87.6136766822,43.9553896591
10131,87.6137740462,43.9566421291
10132,87.6138815292,43.9578937256
10133,87.613993995,43.9591449211
10134,87.6141162404,43.9603950837
10135,87.6142031627,43.9616482688
10136,87.614301009,43.9629002523
1014,87.6690924431,43.9439696267
1015,87.6702766546,43.944388918
10153,87.6131479187,43.9509379397
10154,87.6085287706,43.9465947915
10155,87.6096590578,43.9471210675
10156,87.6107269976,43.9477825339
10157,87.6117957754,43.948442731
10159,87.6130283554,43.9505003839
1016,87.671460866,43.9448082092
10161,87.6242115002,43.9819578047
1017,87.6726450774,43.9452275005
1018,87.6738292889,43.9456467917
10185,87.6242109346,43.9818148336
1019,87.6678831917,43.9436014479
1020,87.6690673994,43.9440207497
1021,87.6702516071,43.9444400515
1022,87.6714358148,43.9448593533
1023,87.6726200225,43.9452786551
1024,87.6738042302,43.9456979569
1025,87.6521858952,43.9589770546
1026,87.6521299976,43.9577220497
1027,87.6520741001,43.9564670447
1028,87.6521104237,43.9589851445
1029,87.6520547643,43.957730129
1030,87.6519991049,43.9564751135
10301,87.662428961,44.0168151863
1031,87.7033191962,43.9704263149
1032,87.7038952489,43.9715427042
1033,87.7032514516,43.9704476621
1034,87.7038268934,43.9715643664
10346,87.6592881125,44.0119379895
1035,87.7050973626,43.9740277118
1036,87.705673141,43.9751442426
1037,87.706379996,43.9765144184
1038,87.7069559921,43.9776308369
1039,87.7075342285,43.9787460966
1040,87.7051670099,43.9740099261
1041,87.7057434401,43.9751261205
1042,87.7064491947,43.976493316
1043,87.7070253891,43.9776096322
1044,87.7076041702,43.9787246093
1057,87.3019586496,43.8652933617
1058,87.3020327012,43.865285352
1059,87.3015680043,43.8631201556
1060,87.301640866,43.863107017
1061,87.3298593801,43.8631996873
1062,87.331102545,43.8630195542
1063,87.3323441762,43.8628287743
1064,87.3335845043,43.8626294054
10643,87.3750553534,43.9725619743
10644,87.3729808356,43.9740661866
10645,87.3740327837,43.9733794792
1065,87.3348248325,43.8624300365
1066,87.3360651606,43.8622306676
1067,87.3381786895,43.8618816891
1068,87.3394173787,43.8616723785
1069,87.3406560679,43.861463068
10695,87.4135142353,43.9440523711
10697,87.4154387068,43.9424371135
10699,87.4173691665,43.9408290576
1070,87.3418954004,43.8612577039
10700,87.4183388069,43.940030334
10701,87.4193084472,43.9392316103
10702,87.3896936179,43.9630518566
10703,87.3907263509,43.962336638
10704,87.3917577921,43.9616194971
10705,87.392789323,43.9609024854
10708,87.3957693461,43.9585967302
10709,87.3967393594,43.9577986209
1071,87.3431364418,43.8610628242
10712,87.4076426755,43.9487713184
10717,87.3809562621,43.9688858641
10718,87.3820067983,43.9681969987
10719,87.3830573345,43.9675081332
1072,87.3443774833,43.8608679445
10720,87.3841087134,43.9668205592
10721,87.3851622931,43.9661363577
10722,87.3862158728,43.9654521562
10723,87.3872694526,43.9647679547
10724,87.3883230323,43.9640837532
10725,87.3984746429,43.9565204493
10726,87.399441296,43.9557181128
10727,87.400407949,43.9549157764
10728,87.401374602,43.9541134399
10729,87.4023412551,43.9533111034
1073,87.3300045552,43.8632591554
10730,87.4033079081,43.9525087669
10731,87.4042773641,43.9517098201
10732,87.3761233111,43.9720265782
10733,87.3771759138,43.9713408963
10734,87.3782266367,43.9706523157
10735,87.379280601,43.9699687274
1074,87.3312483686,43.8630828319
10742,87.4003177574,43.954825547
10743,87.4012843515,43.9540231394
10744,87.4022509455,43.9532207319
10747,87.3897577334,43.9631545789
10748,87.3907915304,43.9624409399
10749,87.3918231763,43.9617240937
1075,87.3324896717,43.862889929
10750,87.3928548496,43.9610072868
10751,87.393863162,43.9602589252
10752,87.3948499561,43.9594814939
10753,87.3958367502,43.9587040627
10754,87.3968081447,43.9579076431
10755,87.4058132764,43.9504438346
10756,87.4067825525,43.949644669
10757,87.4077518287,43.9488455033
10758,87.4087214286,43.9480467308
10759,87.4096912323,43.9472482054
1076,87.3337299295,43.8626901232
10760,87.4106608658,43.9464494754
10761,87.4116228284,43.9456415213
10769,87.4209303255,43.9376772269
1077,87.3349701874,43.8624903174
10770,87.4210165805,43.9377705155
10771,87.4292033529,43.9307217162
10772,87.4301717061,43.9299214325
10773,87.4311400593,43.9291211488
10774,87.4320879615,43.9282973548
10775,87.4330365023,43.9274738762
10776,87.4339955686,43.9266624863
10777,87.4349521917,43.9258482696
10778,87.4358984448,43.9250220713
10779,87.4368598617,43.924213468
1078,87.3362104453,43.8622905116
10780,87.4378212786,43.9234048646
10781,87.4387826955,43.9225962612
10782,87.4292598579,43.9308279111
10783,87.430226716,43.9300258218
10784,87.4311935741,43.9292237325
10785,87.432152205,43.9284119437
10786,87.4331033008,43.9275912253
10787,87.4340543966,43.9267705069
10788,87.4350054924,43.9259497885
10789,87.4359585876,43.9251314191
